region,num_nodes,num_edges,num_communities,modularity_Q,largest_module_size,largest_module_pct,mean_module_size,std_module_size
GBR,1144,5113,119,0.90042971074939,85,7.43006993006993,9.61344537815126,17.43179228441575
IO,180,27601,33,0.7893272969873639,23,12.777777777777777,5.454545454545454,4.761530878671265
Caribbean,423,23128,15,0.7304729477092371,68,16.07565011820331,28.2,20.517309765171454
