,Region,Metric,Standardised Value
0,GBR,Degree Centrality,-0.46582723835886364
1,GBR,Degree Centrality,-0.46750687805162305
2,GBR,Degree Centrality,-0.4641475986661042
3,GBR,Degree Centrality,-0.4607883192805853
4,GBR,Degree Centrality,-0.4607883192805853
5,GBR,Degree Centrality,-0.4641475986661042
6,GBR,Degree Centrality,-0.4607883192805853
7,GBR,Degree Centrality,-0.4607883192805853
8,GBR,Degree Centrality,-0.4607883192805853
9,GBR,Degree Centrality,-0.4641475986661042
10,GBR,Degree Centrality,-0.45910867958782586
11,GBR,Degree Centrality,-0.46582723835886364
12,GBR,Degree Centrality,-0.45742903989506645
13,GBR,Degree Centrality,-0.46246795897334475
14,GBR,Degree Centrality,-0.46246795897334475
15,GBR,Degree Centrality,-0.4607883192805853
16,GBR,Degree Centrality,-0.4607883192805853
17,GBR,Degree Centrality,-0.4641475986661042
18,GBR,Degree Centrality,-0.46246795897334475
19,GBR,Degree Centrality,-0.4607883192805853
20,GBR,Degree Centrality,-0.46246795897334475
21,GBR,Degree Centrality,-0.46246795897334475
22,GBR,Degree Centrality,-0.46582723835886364
23,GBR,Degree Centrality,-0.4641475986661042
24,GBR,Degree Centrality,-0.4607883192805853
25,GBR,Degree Centrality,-0.46246795897334475
26,GBR,Degree Centrality,-0.4607883192805853
27,GBR,Degree Centrality,-0.4607883192805853
28,GBR,Degree Centrality,-0.4607883192805853
29,GBR,Degree Centrality,-0.45742903989506645
30,GBR,Degree Centrality,-0.46246795897334475
31,GBR,Degree Centrality,-0.46246795897334475
32,GBR,Degree Centrality,-0.45910867958782586
33,GBR,Degree Centrality,-0.46582723835886364
34,GBR,Degree Centrality,-0.45910867958782586
35,GBR,Degree Centrality,-0.4641475986661042
36,GBR,Degree Centrality,-0.45910867958782586
37,GBR,Degree Centrality,-0.4607883192805853
38,GBR,Degree Centrality,-0.46582723835886364
39,GBR,Degree Centrality,-0.46750687805162305
40,GBR,Degree Centrality,-0.46246795897334475
41,GBR,Degree Centrality,-0.45910867958782586
42,GBR,Degree Centrality,-0.45910867958782586
43,GBR,Degree Centrality,-0.4691865177443825
44,GBR,Degree Centrality,-0.45742903989506645
45,GBR,Degree Centrality,-0.4607883192805853
46,GBR,Degree Centrality,-0.45742903989506645
47,GBR,Degree Centrality,-0.4641475986661042
48,GBR,Degree Centrality,-0.46582723835886364
49,GBR,Degree Centrality,-0.46246795897334475
50,GBR,Degree Centrality,-0.4607883192805853
51,GBR,Degree Centrality,-0.45742903989506645
52,GBR,Degree Centrality,-0.4641475986661042
53,GBR,Degree Centrality,-0.455749400202307
54,GBR,Degree Centrality,-0.455749400202307
55,GBR,Degree Centrality,-0.45742903989506645
56,GBR,Degree Centrality,-0.4641475986661042
57,GBR,Degree Centrality,-0.4607883192805853
58,GBR,Degree Centrality,-0.45910867958782586
59,GBR,Degree Centrality,-0.46246795897334475
60,GBR,Degree Centrality,-0.45742903989506645
61,GBR,Degree Centrality,-0.46582723835886364
