,Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency,Lon,Lat,geometry,Region
0,0,0.0017497812773403325,0.028975581204713684,0.0,0.0,2.231553398729358e-87,0.0,0.0,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
1,1,0.0008748906386701663,0.028975581204713684,0.0,0.0,4.098716271507244e-127,0.0,0.0,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
2,2,0.0026246719160104987,0.028975581204713684,0.001999750031246094,0.0,2.5578154421581224e-78,3.033333333333333,0.0,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
3,3,0.004374453193350831,0.028975581204713684,0.0024227740763173833,1.3789869961526262e-05,2.515994363796699e-80,3.5833333333333335,0.0,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
4,4,0.004374453193350831,0.028975581204713684,0.002143482064741907,1.0725454414520426e-05,2.750159169992726e-79,3.116666666666667,0.0,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
5,5,0.0026246719160104987,0.028975581204713684,0.0025217436055787142,0.0,9.703575862936408e-80,3.416666666666667,0.0,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
6,6,0.004374453193350831,0.028975581204713684,0.001999750031246094,1.2257662188023344e-05,1.9041734968408581e-81,2.8333333333333335,0.3333333333333333,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
7,7,0.004374453193350831,0.028975581204713684,0.0011665208515602215,1.532207773502918e-05,4.973016749068381e-84,1.5,0.3333333333333333,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
8,8,0.004374453193350831,0.028975581204713684,0.0013123359580052493,9.193246641017509e-06,1.0948224129506117e-82,1.8333333333333333,0.3333333333333333,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
9,9,0.0026246719160104987,0.028975581204713684,0.001999750031246094,0.0,2.5578154421581224e-78,3.033333333333333,0.0,0.003910241114965524,0.09534275281278452,0.2496425410226731,0.6180124821421374,,,POINT (NaN NaN),GBR
