,Region,Metric,Standardised Value
0,GBR,Degree Centrality,-0.3103123725058281
1,GBR,Degree Centrality,-0.3103123725058281
2,GBR,Degree Centrality,-0.3086905586918294
3,GBR,Degree Centrality,-0.30787965178483007
4,GBR,Degree Centrality,-0.30787965178483007
5,GBR,Degree Centrality,-0.3086905586918294
6,GBR,Degree Centrality,-0.3086905586918294
7,GBR,Degree Centrality,-0.3070687448778307
8,GBR,Degree Centrality,-0.3070687448778307
9,GBR,Degree Centrality,-0.3070687448778307
10,GBR,Degree Centrality,-0.3046360241568326
11,GBR,Degree Centrality,-0.3086905586918294
12,GBR,Degree Centrality,-0.30625783797083134
13,GBR,Degree Centrality,-0.3022033034358345
14,GBR,Degree Centrality,-0.30382511724983324
15,GBR,Degree Centrality,-0.30787965178483007
16,GBR,Degree Centrality,-0.3070687448778307
17,GBR,Degree Centrality,-0.305446931063832
18,GBR,Degree Centrality,-0.3030142103428339
19,GBR,Degree Centrality,-0.30625783797083134
20,GBR,Degree Centrality,-0.3022033034358345
21,GBR,Degree Centrality,-0.3070687448778307
22,GBR,Degree Centrality,-0.30787965178483007
23,GBR,Degree Centrality,-0.3070687448778307
24,GBR,Degree Centrality,-0.3070687448778307
25,GBR,Degree Centrality,-0.2997705827148365
26,GBR,Degree Centrality,-0.30625783797083134
27,GBR,Degree Centrality,-0.30950146559882874
28,GBR,Degree Centrality,-0.30625783797083134
29,GBR,Degree Centrality,-0.305446931063832
30,GBR,Degree Centrality,-0.3046360241568326
31,GBR,Degree Centrality,-0.30787965178483007
32,GBR,Degree Centrality,-0.30787965178483007
33,GBR,Degree Centrality,-0.3070687448778307
34,GBR,Degree Centrality,-0.3013923965288352
35,GBR,Degree Centrality,-0.30382511724983324
36,GBR,Degree Centrality,-0.30382511724983324
37,GBR,Degree Centrality,-0.305446931063832
38,GBR,Degree Centrality,-0.29571604817983965
39,GBR,Degree Centrality,-0.2997705827148365
40,GBR,Degree Centrality,-0.30625783797083134
41,GBR,Degree Centrality,-0.30625783797083134
42,GBR,Degree Centrality,-0.30625783797083134
43,GBR,Degree Centrality,-0.30058148962183584
44,GBR,Degree Centrality,-0.30382511724983324
45,GBR,Degree Centrality,-0.305446931063832
46,GBR,Degree Centrality,-0.3086905586918294
47,GBR,Degree Centrality,-0.3046360241568326
48,GBR,Degree Centrality,-0.305446931063832
49,GBR,Degree Centrality,-0.30382511724983324
50,GBR,Degree Centrality,-0.3070687448778307
51,GBR,Degree Centrality,-0.30625783797083134
52,GBR,Degree Centrality,-0.3070687448778307
53,GBR,Degree Centrality,-0.30625783797083134
54,GBR,Degree Centrality,-0.3046360241568326
55,GBR,Degree Centrality,-0.30625783797083134
56,GBR,Degree Centrality,-0.3070687448778307
57,GBR,Degree Centrality,-0.3070687448778307
58,GBR,Degree Centrality,-0.3070687448778307
59,GBR,Degree Centrality,-0.30787965178483007
60,GBR,Degree Centrality,-0.3022033034358345
61,GBR,Degree Centrality,-0.2989596758078371
62,GBR,Degree Centrality,-0.30625783797083134
63,GBR,Degree Centrality,-0.30625783797083134
64,GBR,Degree Centrality,-0.3030142103428339
65,GBR,Degree Centrality,-0.2989596758078371
