,Region,Metric,Standardised Value
114,GBR_0.5,Degree Centrality,-0.6152181299617866
115,GBR_0.5,Degree Centrality,-0.5661557357124515
116,GBR_0.5,Degree Centrality,-0.5416245385877839
117,GBR_0.5,Degree Centrality,-0.5170933414631164
118,GBR_0.5,Degree Centrality,-0.44349975008911363
119,GBR_0.5,Degree Centrality,-0.6642805242111217
120,GBR_0.5,Degree Centrality,-0.6642805242111217
121,GBR_0.5,Degree Centrality,-0.6152181299617866
122,GBR_0.5,Degree Centrality,-0.6397493270864542
123,GBR_0.5,Degree Centrality,-0.4925621443384488
124,GBR_0.5,Degree Centrality,-0.36990615871511096
125,GBR_0.5,Degree Centrality,-0.3453749615904434
126,GBR_0.5,Degree Centrality,-0.5661557357124515
127,GBR_0.5,Degree Centrality,-0.3944373558397785
128,GBR_0.5,Degree Centrality,-0.6397493270864542
129,GBR_0.5,Degree Centrality,-0.4189685529644461
130,GBR_0.5,Degree Centrality,-0.4925621443384488
131,GBR_0.5,Degree Centrality,-0.5416245385877839
132,GBR_0.5,Degree Centrality,-0.5661557357124515
133,GBR_0.5,Degree Centrality,-0.6152181299617866
134,GBR_0.5,Degree Centrality,-0.5661557357124515
135,GBR_0.5,Degree Centrality,-0.5416245385877839
136,GBR_0.5,Degree Centrality,-0.6642805242111217
137,GBR_0.5,Degree Centrality,-0.3944373558397785
138,GBR_0.5,Degree Centrality,-0.6152181299617866
139,GBR_0.5,Degree Centrality,-0.44349975008911363
140,GBR_0.5,Degree Centrality,-0.6152181299617866
141,GBR_0.5,Degree Centrality,-0.5661557357124515
142,GBR_0.5,Degree Centrality,-0.3944373558397785
143,GBR_0.5,Degree Centrality,-0.5170933414631164
144,GBR_0.5,Degree Centrality,-0.4189685529644461
145,GBR_0.5,Degree Centrality,-0.6397493270864542
146,GBR_0.5,Degree Centrality,-0.5661557357124515
147,GBR_0.5,Degree Centrality,-0.4925621443384488
148,GBR_0.5,Degree Centrality,-0.5661557357124515
149,GBR_0.5,Degree Centrality,-0.2963125673411083
150,GBR_0.5,Degree Centrality,-0.4925621443384488
151,GBR_0.5,Degree Centrality,-0.590686932837119
152,GBR_0.5,Degree Centrality,-0.5170933414631164
153,GBR_0.5,Degree Centrality,-0.6888117213357893
154,GBR_0.5,Degree Centrality,-0.3944373558397785
155,GBR_0.5,Degree Centrality,-0.32084376446577584
156,GBR_0.5,Degree Centrality,-0.4925621443384488
157,GBR_0.5,Degree Centrality,-0.5170933414631164
158,GBR_0.5,Degree Centrality,-0.44349975008911363
159,GBR_0.5,Degree Centrality,-0.5170933414631164
160,GBR_0.5,Degree Centrality,-0.6152181299617866
161,GBR_0.5,Degree Centrality,-0.6152181299617866
162,GBR_0.5,Degree Centrality,-0.3944373558397785
163,GBR_0.5,Degree Centrality,-0.3944373558397785
164,GBR_0.5,Degree Centrality,-0.5661557357124515
165,GBR_0.5,Degree Centrality,-0.46803094721378125
166,GBR_0.5,Degree Centrality,-0.3944373558397785
167,GBR_0.5,Degree Centrality,-0.6642805242111217
168,GBR_0.5,Degree Centrality,-0.5170933414631164
169,GBR_0.5,Degree Centrality,-0.5170933414631164
170,GBR_0.5,Degree Centrality,-0.4925621443384488
171,GBR_0.5,Degree Centrality,-0.44349975008911363
172,GBR_0.5,Degree Centrality,-0.590686932837119
173,GBR_0.5,Degree Centrality,-0.5661557357124515
174,GBR_0.5,Degree Centrality,-0.5170933414631164
175,GBR_0.5,Degree Centrality,-0.3944373558397785
176,GBR_0.5,Degree Centrality,-0.3453749615904434
177,GBR_0.5,Degree Centrality,-0.6397493270864542
178,GBR_0.5,Degree Centrality,-0.5170933414631164
179,GBR_0.5,Degree Centrality,-0.36990615871511096
180,GBR_0.5,Degree Centrality,-0.46803094721378125
181,GBR_0.5,Degree Centrality,-0.6888117213357893
182,GBR_0.5,Degree Centrality,-0.5661557357124515
183,GBR_0.5,Degree Centrality,-0.6152181299617866
184,GBR_0.5,Degree Centrality,-0.5661557357124515
185,GBR_0.5,Degree Centrality,-0.5416245385877839
186,GBR_0.5,Degree Centrality,-0.4925621443384488
187,GBR_0.5,Degree Centrality,-0.5416245385877839
188,GBR_0.5,Degree Centrality,-0.5416245385877839
189,GBR_0.5,Degree Centrality,-0.46803094721378125
190,GBR_0.5,Degree Centrality,-0.5661557357124515
191,GBR_0.5,Degree Centrality,-0.46803094721378125
192,GBR_0.5,Degree Centrality,-0.6152181299617866
193,GBR_0.5,Degree Centrality,-0.46803094721378125
194,GBR_0.5,Degree Centrality,-0.3944373558397785
195,GBR_0.5,Degree Centrality,-0.5170933414631164
196,GBR_0.5,Degree Centrality,-0.4925621443384488
197,GBR_0.5,Degree Centrality,-0.36990615871511096
198,GBR_0.5,Degree Centrality,-0.590686932837119
199,GBR_0.5,Degree Centrality,-0.46803094721378125
200,GBR_0.5,Degree Centrality,-0.46803094721378125
201,GBR_0.5,Degree Centrality,-0.590686932837119
202,GBR_0.5,Degree Centrality,-0.2963125673411083
203,GBR_0.5,Degree Centrality,-0.5661557357124515
204,GBR_0.5,Degree Centrality,-0.5661557357124515
205,GBR_0.5,Degree Centrality,-0.3453749615904434
206,GBR_0.5,Degree Centrality,-0.44349975008911363
207,GBR_0.5,Degree Centrality,-0.46803094721378125
208,GBR_0.5,Degree Centrality,-0.5661557357124515
209,GBR_0.5,Degree Centrality,-0.6642805242111217
210,GBR_0.5,Degree Centrality,-0.32084376446577584
211,GBR_0.5,Degree Centrality,-0.590686932837119
212,GBR_0.5,Degree Centrality,-0.3453749615904434
213,GBR_0.5,Degree Centrality,-0.3453749615904434
214,GBR_0.5,Degree Centrality,-0.6397493270864542
215,GBR_0.5,Degree Centrality,-0.6888117213357893
216,GBR_0.5,Degree Centrality,-0.22271897596710558
217,GBR_0.5,Degree Centrality,-0.0019382018450974797
218,GBR_0.5,Degree Centrality,-0.5170933414631164
219,GBR_0.5,Degree Centrality,-0.5661557357124515
220,GBR_0.5,Degree Centrality,-0.2963125673411083
221,GBR_0.5,Degree Centrality,-0.4189685529644461
222,GBR_0.5,Degree Centrality,-0.44349975008911363
223,GBR_0.5,Degree Centrality,-0.5416245385877839
224,GBR_0.5,Degree Centrality,-0.07553179321910015
225,GBR_0.5,Degree Centrality,-0.24725017309177313
226,GBR_0.5,Degree Centrality,-0.12459418746843527
227,GBR_0.5,Degree Centrality,-0.2717813702164407
228,GBR_0.5,Degree Centrality,0.02259299527957008
229,GBR_0.5,Degree Centrality,-0.5661557357124515
230,GBR_0.5,Degree Centrality,-0.4925621443384488
231,GBR_0.5,Degree Centrality,-0.6397493270864542
232,GBR_0.5,Degree Centrality,-0.6888117213357893
233,GBR_0.5,Degree Centrality,-0.5661557357124515
234,GBR_0.5,Degree Centrality,0.04712419240423764
235,GBR_0.5,Degree Centrality,-0.6152181299617866
