,Node,Degree Centrality,Network Centralisation,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Harmonic Centrality,Clustering Coefficient,Graph Density,Rich Club Coefficient,Transitivity,Local Efficiency,Lon,Lat,geometry,Region
0,0,0.0,0.08678885227479033,0.0,0.0,2.4946305565830578e-23,0.0,0.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
1,1,0.0,0.08678885227479033,0.0,0.0,2.4946305565830578e-23,0.0,0.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
2,2,0.001067995728017088,0.08678885227479033,0.0,0.0,1.0218006759764205e-19,0.0,0.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
3,3,0.001067995728017088,0.08678885227479033,0.000355998576005696,0.0,7.152604731834942e-19,1.0,0.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
4,4,0.000711997152011392,0.08678885227479033,0.0,0.0,1.0218006759764205e-19,0.0,0.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
5,5,0.000711997152011392,0.08678885227479033,0.0,0.0,1.0218006759764205e-19,0.0,0.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
6,6,0.001423994304022784,0.08678885227479033,0.000533997864008544,0.0,2.4012315885445884e-18,1.8333333333333333,1.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
7,7,0.001067995728017088,0.08678885227479033,0.0,0.0,1.0218006759764205e-19,0.0,0.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
8,8,0.002135991456034176,0.08678885227479033,0.028791243654822333,0.0,4.5798625028346034e-15,96.40475490339118,1.0,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
9,9,0.00177999288002848,0.08678885227479033,0.0008137110308701623,6.339005983007407e-07,7.510234968426693e-18,2.833333333333333,0.3333333333333333,0.004162269471918553,0.5993703313653459,0.4032647494349622,0.5876130144643505,,,POINT (NaN NaN),GBR
