,Region,Metric,Standardised Value
133,GBR,Degree Centrality,-0.32079528560510245
134,GBR,Degree Centrality,-0.3271696551009596
135,GBR,Degree Centrality,-0.32261653403249024
136,GBR,Degree Centrality,-0.324437782459878
137,GBR,Degree Centrality,-0.31988466139140864
138,GBR,Degree Centrality,-0.324437782459878
139,GBR,Degree Centrality,-0.3189740371777147
140,GBR,Degree Centrality,-0.32079528560510245
141,GBR,Degree Centrality,-0.3189740371777147
142,GBR,Degree Centrality,-0.3217059098187964
143,GBR,Degree Centrality,-0.32534840667357184
144,GBR,Degree Centrality,-0.324437782459878
145,GBR,Degree Centrality,-0.32534840667357184
146,GBR,Degree Centrality,-0.3217059098187964
147,GBR,Degree Centrality,-0.32352715824618417
148,GBR,Degree Centrality,-0.3217059098187964
149,GBR,Degree Centrality,-0.32352715824618417
150,GBR,Degree Centrality,-0.31806341296402085
151,GBR,Degree Centrality,-0.3280802793146535
152,GBR,Degree Centrality,-0.3271696551009596
153,GBR,Degree Centrality,-0.31806341296402085
154,GBR,Degree Centrality,-0.32625903088726577
155,GBR,Degree Centrality,-0.32534840667357184
156,GBR,Degree Centrality,-0.324437782459878
157,GBR,Degree Centrality,-0.324437782459878
158,GBR,Degree Centrality,-0.3217059098187964
159,GBR,Degree Centrality,-0.32261653403249024
160,GBR,Degree Centrality,-0.32352715824618417
161,GBR,Degree Centrality,-0.324437782459878
162,GBR,Degree Centrality,-0.324437782459878
163,GBR,Degree Centrality,-0.3217059098187964
164,GBR,Degree Centrality,-0.32899090352834737
165,GBR,Degree Centrality,-0.32352715824618417
166,GBR,Degree Centrality,-0.32899090352834737
167,GBR,Degree Centrality,-0.324437782459878
168,GBR,Degree Centrality,-0.32079528560510245
169,GBR,Degree Centrality,-0.32261653403249024
170,GBR,Degree Centrality,-0.317152788750327
171,GBR,Degree Centrality,-0.32625903088726577
172,GBR,Degree Centrality,-0.3217059098187964
173,GBR,Degree Centrality,-0.32261653403249024
174,GBR,Degree Centrality,-0.324437782459878
175,GBR,Degree Centrality,-0.3153315403229392
176,GBR,Degree Centrality,-0.31806341296402085
177,GBR,Degree Centrality,-0.324437782459878
178,GBR,Degree Centrality,-0.32352715824618417
179,GBR,Degree Centrality,-0.32534840667357184
180,GBR,Degree Centrality,-0.324437782459878
181,GBR,Degree Centrality,-0.3280802793146535
