Name,Lat,Lon
Addu Atoll,-0.629658222198486,73.1615676879883
Fuvahmulah Atoll,-0.299794942140579,73.4145431518555
Centurion and Ganges Banks,-7.58122968673706,70.8493347167969
Pitt Bank S,-7.25930309295654,71.4388427734375
Pitt Bank C,-7.07410001754761,71.3569107055664
Pitt Bank N,-6.95996236801147,71.1980972290039
Diego Garcia,-7.33021450042725,72.4337310791016
Unnamed reefs (GCB1),-6.6157374382019,71.6958389282227
Egmont and Danger Islands (GCB2),-6.51969766616821,71.3527297973633
Eagle Island (GCB3),-6.26526641845703,71.3861999511719
Unnamed reefs (GCB4),-6.31963205337524,71.6470031738281
Unnamed reefs (GCB5),-6.20155954360962,71.9922027587891
Unnamed reefs (GCB6),-6.07008361816406,71.5873718261719
Unnamed reefs (GCB7),-5.88501644134522,71.6727981567383
Unnamed reefs (GCB8),-5.92900991439819,71.9089508056641
Unnamed reefs (GCB9),-5.69711780548096,72.1115417480469
Nelsons Island (GCB10),-5.74156522750855,72.367317199707
Unnamed reefs (GCB11),-5.81217050552368,72.6323165893555
Unnamed reefs (GCB12),-5.94890880584717,72.3787994384766
Unnamed reefs (GCB13),-6.14600658416748,72.6324920654297
Unnamed reefs (GCB14),-6.40780115127564,72.369758605957
Cauvin Bank (GCB15),-6.70978593826294,72.2612075805664
Benares Shoals,-5.33932161331177,71.84033203125
"Victory Bank, Salomon Islands, and Blenheim Reef",-5.33153867721558,72.314582824707
Speakers Bank and Colvocoresses Reef,-4.89843940734863,72.3627471923828
Mauritius SW,-20.3691177368164,57.3820419311523
Mauritius N,-19.9987506866455,57.6751480102539
Mauritius SE,-20.3807334899902,57.7507133483887
Rodrigues,-19.7440433502197,63.3773460388184
St Brandon,-16.5856266021729,59.6190452575684
Agaléga Islands,-10.4175081253052,56.647331237793
Aldabra Atoll SW,-9.48230743408203,46.2614326477051
Aldabra Atoll NW,-9.36136722564697,46.2545433044434
Aldabra Atoll NE,-9.36826705932617,46.4584617614746
Aldabra Atoll SE,-9.45389175415039,46.4583282470703
