name,Lon,Lat
0,152.27861962324,-22.0196907826537
1,150.846077989592,-20.2543626760449
2,152.38614610685,-21.7282383664038
3,148.595949091645,-19.1983616342203
4,150.902188423364,-20.6179033282068
5,151.539519106521,-21.2070797084999
6,144.032026439256,-11.278625923943
7,149.79044949991,-19.9288628246723
8,143.268678631278,-11.979854437917
9,143.701962379309,-13.4336509970903
10,151.601654623344,-21.4970688075236
11,151.211439656331,-20.9322815215405
12,152.459271798991,-21.8191847547127
13,151.476166374027,-20.8527748593934
14,150.265682331752,-22.3535780304366
15,151.364995743551,-21.1658442798727
16,150.37417688122,-22.0124177491653
17,150.00656394162,-19.7097681604777
18,149.925244918825,-19.664565578116
19,149.880661295836,-21.9854948034861
20,143.868635197219,-11.5250499091342
21,151.636857979278,-23.9743550596638
22,149.217042158307,-19.3320051256956
23,152.414927437997,-21.7613006293488
24,148.633374537614,-19.3496324216742
25,150.651694967931,-20.2317705426069
26,149.260726716011,-20.7720905833438
27,143.833332891593,-11.8966075939191
28,152.652177743416,-21.9821646398295
29,143.970994457052,-10.738816798103
30,150.671480921849,-20.1510221944793
31,143.925349271893,-11.4875854228419
32,152.210929581673,-21.8636022789806
33,150.589432414703,-20.0611922911927
34,149.368414710073,-19.7607166712751
35,151.133019245581,-21.2567787453816
36,142.623078449757,-10.7681654552932
37,143.972510710589,-11.4653835664186
38,151.174076373589,-23.4139001095645
39,150.331769494972,-21.6622602435049
40,150.855738414554,-20.3426770213401
41,143.715367866399,-11.5663153411945
42,150.451177733185,-20.6842948277875
43,152.470740597342,-21.9127368226672
44,145.480194084698,-14.8553888131094
45,149.922563813337,-19.7072189735077
46,149.757857027718,-21.6105747075465
47,148.933778432698,-20.5309851198005
48,151.651648525812,-21.5176430829742
49,152.438603513671,-21.4655970098787
50,143.823705282107,-12.9343953587788
51,152.568338962329,-21.9755019852159
52,143.669778714493,-11.0416598676846
53,149.152308955091,-20.7300633844682
54,149.080821191127,-20.6630377918511
55,152.250414886172,-21.7364849347143
56,143.894836753679,-11.7693373890245
57,144.020290164821,-11.7698789920255
58,152.514227674729,-21.4681878200709
59,143.854813415442,-11.5370909661489
60,150.937638569108,-21.6487531038297
61,152.329765097519,-21.2824286598212
62,143.982668403252,-11.367284232207
63,145.23698355883,-14.3141126410028
64,151.704104640382,-21.3769659458225
65,143.9978823057,-11.2896112531746
66,148.748927386556,-19.3713379376903
67,150.897109742768,-20.7796395558677
68,149.00857469862,-20.422194142256
69,149.217906541719,-19.2792462351368
70,152.420655211569,-21.9768374043891
71,148.596742152858,-19.3241124266053
72,152.420990003289,-21.1810247671555
73,143.954662460706,-11.3518848214698
74,149.137652404337,-20.6824185575154
75,143.836705215489,-12.0395879887868
76,152.320990077043,-21.1146051189597
77,149.394703368698,-19.5346334691122
78,149.096163311486,-20.4316438204135
79,144.009340895827,-11.330938332209
80,144.034808814024,-11.05737183284
81,151.193954574572,-20.9000234587271
82,151.559966905153,-21.0423173644015
83,150.352403460794,-19.7938856800681
84,150.390679118185,-20.1039480578044
85,149.105965137302,-19.3597687127614
86,146.17206349204,-18.0337397035943
87,143.344912491419,-11.9148454176582
88,150.828660439219,-20.566192954247
89,143.963082284663,-10.711830673073
90,150.097931895608,-22.0326281236688
91,151.994191627622,-21.2091261573237
92,151.366743640839,-20.9567439534487
93,144.350065132005,-14.2601875391941
94,146.630442355805,-18.9642792547233
95,152.594646116929,-21.1853148372706
96,151.857869458082,-21.3714715608937
97,143.539692621535,-12.9290825904373
98,151.187185485476,-21.2990309521797
99,152.446717147444,-21.671193821964
100,148.321721565003,-19.0964772371137
101,152.506153652406,-21.0812075660738
102,151.770756252315,-23.2951546866308
103,143.248437083548,-11.7357505027481
104,148.856122302322,-20.350295444018
105,149.173907294162,-20.2481207265992
106,152.016502845667,-21.6952022577416
107,151.407071243922,-21.0385641578822
108,152.374427683937,-21.8604647095004
109,143.826773023115,-11.8568079365412
110,143.871532875458,-13.0390228019162
111,144.032332319698,-11.132800144126
112,143.92145475715,-10.457257463667
113,152.406123574636,-21.5851602318621
114,150.281906538257,-21.6840634196733
115,149.313723648237,-21.1655458125555
116,143.869486655525,-11.7894709963807
117,152.538153991045,-21.1384134258894
118,152.365085055703,-21.3292416669425
119,145.854186408116,-16.023187320012
120,149.837886579572,-19.9487943043626
121,152.244528007022,-21.51879789205
122,148.227738180425,-19.2355486536599
123,150.141231024342,-21.9847201347194
124,146.484598033401,-16.9769551674369
125,145.781129739087,-15.5304959243145
126,150.29085555606,-19.8875520663386
127,150.778639936434,-21.0567809365073
128,146.973577769192,-18.1520154419329
129,143.770091111183,-12.4882847846145
130,143.941186461688,-10.6370626634384
131,149.963485206472,-20.0184771404589
132,149.91693587411,-21.4965251355767
133,151.753806078463,-21.1139044347113
134,151.197441797578,-20.7723865227206
135,151.381478480011,-21.0508333756388
136,149.724784039522,-19.6106993424054
137,143.546027024314,-10.3776400832358
138,143.192653013482,-12.3098080533957
139,145.645332440486,-15.3279799076852
140,150.82739123516,-23.2888727275988
141,149.495402917221,-21.6022574802121
142,148.874470296903,-20.8018474884084
143,145.52243885501,-14.8193138082636
144,149.287991148486,-21.1612818933762
145,144.714925683265,-14.3346927378681
146,149.598826980469,-22.1460117763589
147,150.45508321383,-20.0762218566468
148,145.524644897885,-16.5176778178611
149,152.653693305561,-22.2453220897346
150,150.872967159072,-20.586403855285
151,146.201518881171,-16.9436203402969
152,152.725625291425,-22.011171927459
153,145.684623265046,-14.9279361635218
154,151.07806917966,-23.1591117873133
155,143.863022862839,-11.5570296719471
156,143.980022282393,-11.3023721175898
157,149.845571052157,-22.1417285287701
158,149.47459717617,-20.7415072870957
159,149.070965559217,-20.155161190872
160,143.042044920866,-11.2877999338715
161,150.692961139912,-20.4696002527857
162,149.368057588198,-19.5344898973643
163,150.579029178598,-20.4436096040282
164,152.387209734046,-23.9017841037704
165,145.268100346688,-15.0955315529472
166,152.034314681432,-21.6704464418459
167,143.790716338086,-12.5798673918478
168,144.108480523026,-13.6503431618431
169,146.20114472447,-18.0441566150516
170,150.891404376852,-23.0966441874813
171,149.710706842056,-19.804611209148
172,142.829741548729,-11.2919110723207
173,152.579357647361,-22.0427937416591
174,151.342672397933,-21.0098225402988
175,152.537968165297,-21.6001846345443
176,144.019384907943,-11.2663372224791
177,152.57585415761,-21.4545532117037
178,149.936595737084,-20.0612700366078
179,143.123597921937,-11.3209093819317
180,149.87346470177,-21.5932705556943
181,149.157008458364,-20.6609881717817
182,145.185474073434,-14.819297004086
183,150.284459182393,-22.1948393649501
184,144.920011178434,-14.5427514788949
185,150.751929458073,-20.4135650318938
186,149.111794807269,-20.5883115399209
187,152.47901589001,-21.1286055784563
188,152.554356681261,-22.2040166942225
