name,Lon,Lat
U/N Reef (11-148),142.89602661,-11.82666588
U/N Reef (11-150),142.9387207,-11.84314537
U/N Reef (11-151),142.99359131,-11.86193657
U/N Reef (11-153),142.97039795,-11.88442802
U/N Reef (11-154),143.08181763,-11.51834106
U/N Reef (11-155),143.17790222,-11.53164673
Wizard Reef (11-156),143.0166626,-11.55002689
Bird Islands Reef (South) (11-169),143.08561707,-11.78908348
Chimmo Shoal (11-170),143.24612427,-11.80407715
Guthray Reef (11-171),143.26498413,-11.80193138
U/N Reef (11-172),143.0092926,-11.80706882
Cockburn Reef (11-173),143.36331177,-11.82064915
Magra Reef (11-174),143.28555298,-11.86389256
U/N Reef (11-175),143.29707336,-11.87399673
Cockburn Patch (11-178),143.33795166,-11.91106606
Erlangen Patch (11-179),143.35099792,-11.91815186
Paluma Shoal (11-180),143.3105011,-11.920434
U/N Reef (11-159),143.17852783,-11.59020042
U/N Reef (11-160),143.42359924,-11.58607197
Viking Reef (11-161),143.01045227,-11.59418392
U/N Reef (11-162),143.29081726,-11.60404396
U/N Reef (11-163),143.52058411,-11.62067795
U/N Reef (11-164),143.43362427,-11.6906004
Thrush Reef (11-165),143.19277954,-11.7113266
Forwood Reef (11-166),143.2484436,-11.73574638
Bird Islands Reef (North) (11-167),143.08876038,-11.77057457
Fairway Reef (11-168),143.24330139,-11.75084782
Three Reefs (11-223),143.89483643,-11.76935005
U/N Reef (11-224),143.86940002,-11.7812767
U/N Reef (11-225),143.86950684,-11.79114723
U/N Reef (11-226),143.86431885,-11.80082989
U/N Reef (11-227),143.86500549,-11.80861473
Wood Reef (11-228),143.96910095,-11.80197906
Sunday Reef (11-181),143.20753479,-11.92708302
Bremner Shoal (11-182),143.21601868,-11.94352055
Outer Reef (11-183),143.24200439,-11.94246387
Queue Reef (11-184a),143.37141418,-11.93292141
Wreck Reef (11-184b),143.41717529,-11.94813156
Sir Charles Hardy Islands Reef (11-184c),143.4964447,-11.91147614
Nob Reef (11-185),143.26882935,-11.95176506
U/N Reef (11-186),143.27107239,-11.96063519
Harvey Reef (11-187),143.26773071,-11.96995258
Clerke Reef (11-188),143.28601074,-11.96976376
Perry Reef (11-189),143.25473022,-11.97135067
Cape Grenville Reef (No 1) (11-190a),143.23403931,-11.95914268
Cape Grenville Reef (No 2) (11-190b),143.24432373,-11.97168732
Cape Grenville Reef (No 3) (11-190c),143.21980286,-11.98335934
Hicks Reef (11-191),143.27005005,-11.98371029
Middle Reef (11-192),143.25653076,-11.98383236
Twin Reefs (North) (11-193a),143.26808167,-11.99476337
Twin Reefs (South) (11-193b),143.26725769,-11.99822807
Gore Reef (11-194),143.24754333,-11.99023438
South Reef (11-195),143.24118042,-11.99827003
U/N Reef (11-196),143.96231079,-11.51206398
U/N Reef (11-197),143.86936951,-11.51364994
Siddons Reef (11-200),143.64221191,-11.51258564
U/N Reef (11-201),143.86683655,-11.53081703
U/N Reef (11-202),143.87831116,-11.52675152
U/N Reef (11-203),143.85595703,-11.53986168
U/N Reef (11-204),143.86502075,-11.55042171
U/N Reef (11-205),143.91210938,-11.53071117
U/N Reef (11-206),143.9821167,-11.51644135
U/N Reef (11-207),143.90161133,-11.54532814
U/N Reef (11-208a),143.86178589,-11.55881405
U/N Reef (11-208b),143.86483765,-11.56421375
U/N Reef (11-209),143.88244629,-11.5559597
U/N Reef (11-210a),143.8687439,-11.56971645
U/N Reef (11-210b),143.87513733,-11.57206917
Pearson Reef (11-211),143.71586609,-11.56678677
Jukes Reef (11-212),143.85531616,-11.59234333
U/N Reef (11-213),143.51573181,-11.60236835
Bowles Reef (11-214),143.68450928,-11.62327385
U/N Reef (11-215),143.8795929,-11.63012218
U/N Reef (11-216),143.57757568,-11.65946579
U/N Reef (11-263),143.75422668,-11.30615902
U/N Reef (11-264),143.77384949,-11.80761051
U/N Reef (11-217),143.54988098,-11.68962383
U/N Reef (11-218),143.9140625,-11.63738728
U/N Reef (11-219),143.90174866,-11.66510677
U/N Reef (11-220),143.90249634,-11.69908905
U/N Reef (11-221),143.89541626,-11.72762108
Salamander Reef (11-222b),143.50505066,-11.76433372
Raine Reef (11-243),144.0443573,-11.59504986
Great Detached Reef (No 1) (11-244a),144.01834106,-11.68136787
Great Detached Reef (No 2) (11-244b),144.07032776,-11.77790546
Great Detached Reef (No 3) (11-244c),143.99763489,-11.78417778
Great Detached Reef (No 4) (11-244d),143.97297668,-11.70529938
U/N Reef (11-245),144.02076721,-11.53217125
Passage Reef (11-246),143.24736023,-11.96459198
U/N Reef (11-247),143.11152649,-11.50704288
U/N Reef (11-248),143.11398315,-11.32721424
U/N Reef (11-249),143.33036804,-11.620368
U/N Reef (11-250),143.35350037,-11.48830605
U/N Reef (11-251),143.36968994,-11.55218506
U/N Reef (11-252),143.41201782,-11.44952869
U/N Reef (11-253),143.44273376,-11.17924309
U/N Reef (11-254),143.45925903,-11.10819817
U/N Reef (11-255),143.47775269,-11.49835205
U/N Reef (11-256),143.65112305,-11.62567711
U/N Reef (11-257),143.65937805,-11.42841721
U/N Reef (11-258),143.68553162,-11.55967712
U/N Reef (11-259),143.7056427,-11.55703545
U/N Reef (11-260),143.72416687,-11.79611969
U/N Reef (11-261),143.7454834,-11.80560303
U/N Reef (11-262),143.75033569,-11.48752403
Devlin Reef (11-229a),143.85604858,-11.82583523
U/N Reef (11-229b),143.84274292,-11.84426117
U/N Reef (11-230),143.82388306,-11.85441113
U/N Reef (11-231),143.82946777,-11.86002541
Five Reefs (11-232),143.83822632,-11.87015057
U/N Reef (11-233),143.59017944,-11.85692501
U/N Reef (11-234),143.67663574,-11.82536602
U/N Reef (11-235),143.82466125,-11.88319683
U/N Reef (11-236),143.83390808,-11.89749241
Ashmore Banks (No 1) (11-237a),143.62936401,-11.88521671
Ashmore Banks (No 2) (11-237b),143.70982361,-11.88003635
Ashmore Banks (No 3) (11-237c),143.68823242,-11.92658424
U/N Reef (11-238),143.85302734,-11.92699146
Star Reef (11-239),143.86808777,-11.95340919
Yule Detached Reef (11-240),143.98838806,-11.94892406
Job Reef (11-241),143.8841095,-11.97967243
U/N Reef (11-242),143.90460205,-11.99356556
Nomad Reef (12-007),143.37467957,-12.14226151
Tyrrel Reefs (12-008),143.10850525,-12.19167805
Pickard Reef (12-009),143.13264465,-12.23193836
Kay Reef (12-010),143.28630066,-12.23149204
Beesley-Baird Reef (12-011),143.20640564,-12.24257278
U/N Reef (11-265),143.77719116,-11.50680161
U/N Reef (11-266),143.77746582,-11.81314087
U/N Reef (11-267),143.78218079,-11.81055164
U/N Reef (11-268),143.78488159,-11.82562923
U/N Reef (11-269),143.80137634,-11.4184618
U/N Reef (11-270),143.80509949,-11.3738451
U/N Reef (11-271),143.8102417,-11.19155407
U/N Reef (11-272),143.82575989,-11.84532642
U/N Reef (11-273),143.83477783,-11.91727066
U/N Reef (11-274),143.85011292,-11.52565765
U/N Reef (11-275),143.85502625,-11.28789425
U/N Reef (11-276),143.87446594,-11.73007488
U/N Reef (11-277),143.87625122,-11.18171787
U/N Reef (11-278),143.88478088,-11.70553684
U/N Reef (11-279),143.88734436,-11.73625851
U/N Reef (11-280),143.88977051,-11.75453568
U/N Reef (11-281),143.88981628,-11.63206291
U/N Reef (11-282),143.89093018,-11.52201843
U/N Reef (11-283),143.89356995,-11.63201046
U/N Reef (11-284),143.89526367,-11.57481194
U/N Reef (11-285),143.89628601,-11.59813881
U/N Reef (11-286),143.90386963,-11.59711838
U/N Reef (11-287),143.96366882,-11.57501984
U/N Reef (11-289),143.98202515,-11.3779211
U/N Reef (11-290),143.98338318,-11.47064018
U/N Reef (11-291),143.98829651,-11.32894707
U/N Reef (11-292),143.98873901,-11.34938812
U/N Reef (11-293),143.99067688,-11.37061596
U/N Reef (11-294),143.99145508,-11.35557175
U/N Reef (11-295),143.9959259,-11.32307911
U/N Reef (11-296),143.99804688,-11.34479809
U/N Reef (11-297),144.00178528,-11.32290173
U/N Reef (11-298),144.00413513,-11.33131409
U/N Reef (11-299),144.00514221,-11.25225353
U/N Reef (11-300),144.00549316,-11.12182331
U/N Reef (11-301),144.01029968,-11.32775974
U/N Reef (11-302),144.01039124,-11.34258556
Great Detached Reef (No 6) (11-244f),144.01324463,-11.76182079
U/N Reef (11-304),144.01356506,-11.31029129
U/N Reef (11-305),144.01531982,-11.25672531
